yas,cinsiyet,boy,kilo,bmi,vucut_tipi,kas_orani,yag_orani,kemik_yogunlugu,hiz,kuvvet,dayaniklilik,esneklik,koordinasyon,denge,reaksiyon_hizi,ailevi_spor_gecmisi,anne_spor_durumu,baba_spor_durumu,dominant_el,spor_yili,onceki_sporlar,en_basarili_spor,yaralanma_gecmisi,stres_toleransi,takım_oyunu_tercihi,yarışma_tutkusu,konsantrasyon,coğrafi_konum,ekonomik_durum,tesis_erisimi,tavsiye_edilen_spor,skor_futbol,skor_koşu_atletizm,skor_basketbol,skor_voleybol,skor_yüzme,skor_güreş,skor_tenis,skor_bisiklet,skor_jimnastik,skor_boks
47,Erkek,181,66.3,20.3,Endomorf,33.2,20.2,Düşük,3.9,7.7,3.1,3.7,3.6,4.2,3.2,Yok,Aktif,Aktif,Sağ,24,['Bisiklet'],Bisiklet,Orta,9.2,Takım,3.1,6.8,Ege,Düşük,Zor,Güreş,42.9,44.2,48.9,48.9,47.1,61.3,35.3,44.4,44.0,41.6
47,Kadın,164,49.0,18.3,Ektomorf,13.7,19.4,Yüksek,5.7,1.0,5.6,5.4,4.4,5.8,4.6,Var,Sporcu,Sedanter,Sağ,3,['Basketbol'],Basketbol,Yok,7.9,Karma,4.7,5.6,Marmara,Düşük,Orta,Koşu/Atletizm,52.2,70.2,69.8,69.8,58.7,41.5,45.6,60.9,57.5,39.8
48,Erkek,172,69.4,23.3,Mezomorf,19.6,11.9,Yüksek,4.7,4.7,5.4,3.9,5.1,3.7,4.2,Yok,Sedanter,Sporcu,Sol,19,"['Futbol', 'Voleybol', 'Basketbol', 'Yüzme']",Basketbol,Yok,5.6,Karma,5.9,8.0,İç Anadolu,Orta,Zor,Basketbol,69.5,48.4,70.2,52.0,63.3,59.5,59.8,64.0,40.7,61.8
16,Erkek,177,55.6,17.8,Ektomorf,16.3,8.5,Düşük,6.4,2.3,5.7,6.3,5.5,5.2,6.4,Var,Sedanter,Sedanter,Sağ,5,['Boks'],Boks,Yok,6.2,Bireysel,2.9,7.6,Marmara,Orta,Kolay,Koşu/Atletizm,48.4,72.5,67.3,67.3,64.4,44.5,53.8,62.7,62.4,46.9
47,Erkek,180,69.9,21.7,Mezomorf,27.6,18.9,Düşük,4.9,7.3,4.5,4.0,5.7,3.2,4.9,Yok,Sedanter,Aktif,Sağ,17,['Güreş'],Güreş,Orta,8.6,Karma,6.4,4.6,Ege,Düşük,Zor,Basketbol,69.3,48.0,72.6,54.4,67.5,61.8,62.7,66.7,45.8,66.5
40,Kadın,155,50.0,20.7,Mezomorf,16.5,25.7,Yüksek,5.3,3.3,5.2,5.6,3.4,3.4,3.9,Yok,Sedanter,Aktif,Sağ,28,['Yüzme'],Yüzme,Hafif,7.5,Karma,2.1,7.1,Marmara,Orta,Orta,Futbol,67.1,49.4,66.1,47.9,61.4,59.1,60.4,59.8,37.6,59.5
38,Erkek,168,71.9,25.5,Endomorf,27.1,19.2,Düşük,3.8,4.7,4.2,3.4,5.8,5.4,5.6,Var,Sedanter,Aktif,Sağ,25,"['Voleybol', 'Futbol']",Futbol,Hafif,7.7,Bireysel,2.9,4.2,Marmara,Yüksek,Kolay,Güreş,41.5,43.8,43.9,43.9,41.5,59.5,42.9,42.9,44.2,42.4
42,Erkek,171,60.6,20.7,Mezomorf,32.1,14.8,Düşük,3.9,8.0,4.3,4.1,3.2,5.3,4.1,Yok,Sedanter,Aktif,Sağ,32,"['Bisiklet', 'Tenis', 'Yüzme', 'Futbol']",Yüzme,Yok,5.5,Takım,3.0,7.9,Marmara,Yüksek,Orta,Bisiklet,62.5,45.9,65.2,47.0,67.5,66.7,55.1,72.4,46.5,64.2
28,Erkek,175,55.9,18.3,Ektomorf,19.3,12.3,Orta,6.2,4.4,6.4,7.1,4.3,3.8,5.2,Yok,Sedanter,Aktif,Sağ,16,"['Basketbol', 'Atletizm']",Atletizm,Ağır,3.9,Karma,6.2,6.5,İç Anadolu,Orta,Orta,Koşu/Atletizm,54.4,73.1,71.8,71.8,70.7,48.5,50.5,65.8,62.9,49.5
19,Kadın,153,42.9,18.2,Ektomorf,17.3,9.9,Yüksek,6.6,2.0,7.8,9.3,6.7,7.6,6.5,Yok,Sedanter,Sedanter,Sağ,4,"['Boks', 'Basketbol', 'Bisiklet', 'Yüzme']",Boks,Hafif,3.8,Takım,5.5,6.4,Karadeniz,Orta,Orta,Koşu/Atletizm,62.0,75.3,74.2,74.2,70.2,57.6,62.0,72.0,73.8,50.7
32,Kadın,152,40.6,17.5,Mezomorf,16.5,13.3,Yüksek,4.7,3.0,5.4,6.7,4.8,6.5,6.3,Yok,Sedanter,Aktif,Sağ,21,"['Jimnastik', 'Bisiklet', 'Basketbol']",Jimnastik,Hafif,4.6,Bireysel,2.5,5.9,Marmara,Yüksek,Orta,Tenis,61.6,49.4,59.9,41.8,62.8,66.5,68.2,66.4,47.3,62.5
16,Kadın,161,40.0,15.4,Mezomorf,17.0,8.3,Yüksek,4.6,3.3,4.1,6.1,6.1,6.0,6.0,Var,Sporcu,Aktif,Sağ,6,"['Güreş', 'Basketbol', 'Futbol', 'Voleybol']",Basketbol,Yok,5.6,Karma,3.3,4.2,Güneydoğu Anadolu,Orta,Orta,Basketbol,68.7,48.1,70.5,52.3,61.0,62.7,68.7,63.1,48.2,60.0
27,Erkek,175,63.2,20.6,Endomorf,32.0,16.7,Yüksek,3.8,9.0,5.3,4.7,6.2,5.4,6.6,Yok,Sedanter,Aktif,Sağ,17,"['Atletizm', 'Basketbol', 'Futbol', 'Bisiklet']",Basketbol,Ağır,5.3,Bireysel,6.2,5.1,Karadeniz,Yüksek,Kolay,Güreş,44.2,47.7,45.5,45.5,54.5,71.6,47.8,54.9,55.1,54.0
45,Kadın,156,51.9,21.3,Mezomorf,18.3,14.2,Orta,4.0,3.2,5.3,4.6,3.5,4.1,3.5,Yok,Aktif,Aktif,Sağ,13,['Tenis'],Tenis,Ağır,6.6,Takım,3.0,4.8,Doğu Anadolu,Düşük,Orta,Futbol,65.1,47.1,64.1,45.9,59.7,58.5,55.6,61.3,37.1,56.4
38,Kadın,162,63.1,23.9,Ektomorf,21.9,22.4,Yüksek,5.0,1.6,5.7,6.8,5.6,5.9,4.3,Yok,Sedanter,Sedanter,Sağ,23,"['Futbol', 'Güreş']",Güreş,Hafif,5.7,Takım,1.4,5.3,Ege,Düşük,Orta,Basketbol,53.3,67.2,70.4,70.4,62.2,45.5,48.5,62.7,63.5,39.3
37,Erkek,167,69.7,24.9,Mezomorf,32.1,21.8,Yüksek,3.6,7.5,4.6,3.6,4.9,3.4,4.4,Yok,Sedanter,Sedanter,Sağ,1,['Voleybol'],Voleybol,Hafif,5.3,Takım,3.5,7.5,İç Anadolu,Orta,Orta,Bisiklet,65.6,44.3,67.2,49.0,65.8,62.0,57.3,67.8,44.4,63.8
29,Kadın,161,44.2,17.0,Ektomorf,12.7,6.2,Yüksek,5.4,2.7,6.6,6.7,7.0,3.7,3.7,Var,Sedanter,Aktif,Sağ,7,"['Futbol', 'Jimnastik']",Futbol,Orta,4.3,Bireysel,3.8,4.5,Doğu Anadolu,Orta,Orta,Koşu/Atletizm,50.9,71.7,66.3,66.3,65.6,44.9,50.5,62.2,63.8,42.5
25,Kadın,164,55.4,20.5,Ektomorf,25.2,14.0,Yüksek,7.2,4.1,7.8,6.9,4.7,5.7,6.9,Yok,Sedanter,Aktif,Sağ,12,"['Yüzme', 'Futbol', 'Jimnastik', 'Atletizm']",Futbol,Yok,5.7,Karma,4.1,6.8,İç Anadolu,Orta,Orta,Koşu/Atletizm,59.5,76.2,73.0,73.0,71.0,53.6,55.8,72.4,66.2,56.4
31,Erkek,168,63.9,22.6,Mezomorf,27.1,11.5,Yüksek,5.3,7.5,5.4,5.1,6.7,6.6,4.0,Yok,Sedanter,Sedanter,Sağ,11,"['Güreş', 'Atletizm', 'Voleybol', 'Futbol']",Atletizm,Ağır,4.6,Karma,6.7,5.1,Akdeniz,Orta,Zor,Bisiklet,73.5,49.6,73.7,55.5,70.1,72.0,65.6,76.7,56.2,67.6
46,Kadın,153,46.0,19.6,Ektomorf,17.7,14.4,Orta,6.0,2.8,5.2,7.1,3.7,4.4,4.8,Yok,Sedanter,Aktif,Sağ,24,"['Basketbol', 'Yüzme', 'Voleybol']",Basketbol,Ağır,8.8,Bireysel,3.7,5.4,Doğu Anadolu,Orta,Zor,Koşu/Atletizm,43.5,69.1,60.4,60.4,63.0,44.5,48.4,60.9,60.0,43.3
28,Kadın,163,45.7,17.3,Ektomorf,16.8,16.6,Yüksek,5.3,3.3,6.4,8.0,5.4,6.3,6.1,Yok,Aktif,Aktif,Sağ,15,"['Yüzme', 'Voleybol', 'Jimnastik', 'Futbol']",Yüzme,Yok,4.8,Takım,4.8,5.2,Güneydoğu Anadolu,Yüksek,Zor,Koşu/Atletizm,54.7,71.2,70.7,70.7,68.9,52.7,54.2,68.9,69.1,47.5
49,Kadın,157,50.1,20.2,Ektomorf,21.3,18.8,Yüksek,5.4,2.3,5.9,5.9,3.7,5.2,3.9,Yok,Sedanter,Sedanter,Sağ,34,"['Futbol', 'Basketbol']",Futbol,Hafif,8.7,Takım,4.5,7.9,Doğu Anadolu,Düşük,Kolay,Koşu/Atletizm,50.9,69.3,67.1,67.1,61.6,44.2,43.5,63.1,58.4,40.9
45,Kadın,157,60.1,24.3,Mezomorf,24.7,17.1,Orta,3.9,3.8,4.6,4.9,5.9,4.7,5.1,Yok,Aktif,Aktif,Sağ,8,"['Futbol', 'Tenis', 'Boks', 'Voleybol']",Futbol,Yok,7.6,Takım,3.2,5.4,Ege,Orta,Orta,Basketbol,68.0,44.8,68.4,50.2,60.2,60.0,63.3,62.4,44.2,58.9
15,Kadın,159,49.0,19.4,Mezomorf,15.8,15.9,Orta,4.8,3.4,5.2,5.1,5.8,6.2,3.5,Var,Aktif,Aktif,Sağ,1,['Futbol'],Futbol,Yok,5.4,Takım,3.4,5.8,Güneydoğu Anadolu,Orta,Kolay,Futbol,70.5,49.1,70.1,51.9,61.2,63.5,62.2,66.2,46.4,58.0
49,Kadın,166,54.0,19.7,Ektomorf,16.1,14.6,Yüksek,4.4,2.5,6.3,5.8,3.2,3.7,4.7,Yok,Aktif,Sedanter,Sağ,10,['Jimnastik'],Jimnastik,Hafif,8.5,Takım,2.7,4.9,Güneydoğu Anadolu,Orta,Orta,Koşu/Atletizm,48.9,68.8,65.5,65.5,63.6,42.4,42.0,61.1,54.9,41.6
30,Kadın,159,40.0,15.7,Ektomorf,13.9,9.2,Yüksek,6.5,2.6,6.6,6.8,4.4,4.1,4.6,Yok,Sedanter,Aktif,Sağ,4,['Tenis'],Tenis,Yok,7.0,Karma,5.2,6.3,Karadeniz,Düşük,Orta,Koşu/Atletizm,55.5,74.0,70.6,70.6,65.3,45.6,49.6,62.9,59.8,46.0
30,Kadın,162,42.0,16.0,Ektomorf,17.5,14.4,Orta,6.3,2.5,6.4,6.6,5.2,4.8,4.5,Var,Sedanter,Sedanter,Sağ,2,"['Tenis', 'Yüzme']",Tenis,Hafif,6.1,Bireysel,3.9,6.6,Marmara,Düşük,Orta,Koşu/Atletizm,48.9,73.4,64.8,64.8,64.8,46.0,50.2,63.8,62.0,44.9
29,Erkek,169,68.3,24.0,Ektomorf,26.5,18.1,Düşük,6.2,4.6,6.8,5.5,4.2,5.1,5.4,Var,Aktif,Sedanter,Sağ,12,['Boks'],Boks,Yok,5.0,Takım,3.2,7.1,Ege,Orta,Kolay,Koşu/Atletizm,54.9,71.6,70.9,70.9,68.2,49.1,47.8,70.0,62.5,50.9
44,Erkek,169,67.4,23.7,Ektomorf,26.7,15.5,Düşük,5.3,4.3,6.0,5.1,3.2,3.8,3.4,Var,Aktif,Aktif,Sol,18,"['Futbol', 'Voleybol', 'Basketbol', 'Yüzme']",Yüzme,Yok,5.3,Karma,4.6,5.0,İç Anadolu,Orta,Orta,Koşu/Atletizm,50.0,68.6,67.5,67.5,65.5,44.0,40.0,64.7,57.1,43.6
22,Kadın,170,57.2,19.7,Mezomorf,16.4,7.1,Düşük,5.9,3.4,6.7,7.2,6.9,6.0,5.1,Yok,Sedanter,Aktif,Sağ,7,"['Jimnastik', 'Futbol', 'Bisiklet', 'Yüzme']",Futbol,Hafif,5.2,Takım,3.0,6.4,Güneydoğu Anadolu,Düşük,Orta,Futbol,77.3,54.2,75.4,57.2,69.0,69.6,72.9,69.1,51.8,65.6
20,Erkek,174,58.3,19.3,Ektomorf,22.9,9.1,Yüksek,6.5,3.6,8.5,7.7,6.3,6.6,7.5,Yok,Sedanter,Aktif,Sağ,7,"['Bisiklet', 'Futbol', 'Jimnastik', 'Güreş']",Jimnastik,Hafif,5.0,Karma,4.5,7.7,Akdeniz,Orta,Zor,Koşu/Atletizm,62.4,77.1,75.9,75.9,74.1,57.1,60.0,74.9,71.3,56.5
24,Erkek,177,67.3,21.4,Ektomorf,23.5,17.8,Düşük,6.6,4.6,8.8,6.8,8.0,7.2,6.6,Yok,Sedanter,Aktif,Sağ,2,"['Boks', 'Atletizm']",Boks,Yok,5.2,Karma,4.7,4.4,İç Anadolu,Düşük,Kolay,Basketbol,66.2,77.1,79.5,79.5,75.2,58.9,60.0,79.1,75.6,57.5
40,Erkek,167,63.1,22.6,Endomorf,25.5,18.9,Orta,3.7,6.3,2.9,4.3,3.8,4.9,4.2,Var,Sporcu,Aktif,Sağ,2,"['Basketbol', 'Jimnastik']",Jimnastik,Hafif,7.3,Takım,4.9,4.1,Doğu Anadolu,Düşük,Zor,Güreş,42.5,42.2,47.2,47.2,43.6,60.7,38.2,42.4,44.2,40.2
16,Erkek,177,58.5,18.6,Ektomorf,24.2,15.0,Yüksek,4.8,4.8,6.9,6.0,3.5,3.7,4.2,Var,Sporcu,Sedanter,Sağ,0,['Hiçbiri'],Hiçbiri,Yok,2.6,Bireysel,3.6,5.5,Ege,Yüksek,Kolay,Koşu/Atletizm,44.0,71.4,60.8,60.8,70.6,48.0,42.7,67.6,60.0,46.7
21,Erkek,173,62.5,20.9,Mezomorf,28.5,17.9,Düşük,5.4,9.3,5.8,6.4,6.0,6.3,4.9,Yok,Sedanter,Aktif,Sağ,10,"['Boks', 'Voleybol', 'Tenis']",Voleybol,Hafif,5.6,Takım,7.1,6.7,Güneydoğu Anadolu,Orta,Zor,Bisiklet,73.1,51.3,73.2,55.0,77.0,77.8,68.5,80.9,60.0,73.5
22,Erkek,183,69.4,20.7,Mezomorf,25.2,15.9,Yüksek,6.9,8.4,5.9,5.6,8.0,7.4,4.4,Yok,Sporcu,Aktif,Sağ,6,"['Atletizm', 'Yüzme', 'Basketbol']",Basketbol,Hafif,7.0,Takım,3.7,7.3,Marmara,Orta,Orta,Bisiklet,79.6,54.6,80.8,62.6,75.3,76.9,72.5,81.6,62.5,73.8
37,Kadın,162,44.9,17.1,Mezomorf,18.0,16.9,Düşük,5.3,3.9,5.2,6.2,5.3,3.7,5.4,Yok,Sedanter,Aktif,Sağ,7,"['Futbol', 'Güreş']",Güreş,Orta,7.5,Karma,4.6,4.5,İç Anadolu,Orta,Zor,Futbol,70.5,50.9,70.4,52.2,64.4,61.8,67.6,61.8,43.8,63.3
18,Erkek,185,68.7,20.0,Ektomorf,26.6,15.8,Yüksek,6.3,6.1,7.7,6.8,4.8,7.1,7.5,Yok,Sedanter,Aktif,Sağ,5,"['Basketbol', 'Bisiklet', 'Voleybol']",Basketbol,Hafif,6.3,Takım,7.2,5.2,Karadeniz,Orta,Orta,Bisiklet,57.8,75.3,74.1,74.1,76.8,59.5,55.3,79.8,72.4,59.3
33,Erkek,161,51.2,19.8,Ektomorf,15.0,13.8,Düşük,7.0,3.1,8.2,7.2,6.5,4.9,6.4,Var,Aktif,Aktif,Sağ,0,['Hiçbiri'],Hiçbiri,Yok,5.2,Bireysel,4.7,6.7,Marmara,Düşük,Zor,Koşu/Atletizm,55.8,76.7,68.3,68.3,70.1,51.6,58.4,69.3,66.7,54.0
28,Kadın,161,55.3,21.3,Ektomorf,27.3,13.3,Düşük,6.2,4.2,8.1,7.2,5.8,5.9,5.9,Yok,Sedanter,Aktif,Sağ,14,"['Basketbol', 'Bisiklet', 'Voleybol']",Voleybol,Ağır,4.1,Bireysel,6.7,5.2,İç Anadolu,Düşük,Zor,Koşu/Atletizm,52.9,74.6,65.6,65.6,71.9,55.3,54.7,73.8,69.3,53.5
27,Erkek,167,54.3,19.4,Mezomorf,24.4,13.8,Orta,5.2,6.6,4.7,5.3,4.7,4.2,5.4,Yok,Sporcu,Sedanter,Sağ,15,"['Atletizm', 'Futbol', 'Boks']",Atletizm,Yok,4.9,Takım,5.8,6.9,Güneydoğu Anadolu,Düşük,Zor,Basketbol,68.4,49.2,69.8,51.6,67.4,65.1,64.7,67.8,46.9,67.1
42,Erkek,170,71.1,24.5,Ektomorf,21.9,12.2,Düşük,4.9,3.5,5.8,4.4,5.6,4.0,4.7,Yok,Sedanter,Sedanter,Sağ,1,['Atletizm'],Atletizm,Yok,5.5,Bireysel,1.9,6.8,Karadeniz,Orta,Orta,Koşu/Atletizm,46.0,67.2,63.9,63.9,62.5,41.3,44.7,62.9,59.1,43.5
15,Erkek,173,55.0,18.3,Ektomorf,18.1,7.8,Düşük,5.0,3.4,6.3,6.0,6.2,3.3,6.2,Yok,Sedanter,Aktif,Sol,1,['Yüzme'],Yüzme,Yok,4.5,Takım,5.3,6.5,İç Anadolu,Orta,Zor,Basketbol,55.5,70.6,72.8,72.8,66.5,43.6,51.6,62.2,61.6,47.1
30,Kadın,170,57.4,19.8,Ektomorf,17.3,12.7,Yüksek,6.0,2.6,7.5,8.6,7.0,6.6,6.6,Yok,Sedanter,Aktif,Sağ,10,"['Atletizm', 'Basketbol', 'Voleybol', 'Futbol']",Basketbol,Hafif,4.6,Bireysel,4.3,7.4,Doğu Anadolu,Orta,Orta,Koşu/Atletizm,53.6,74.0,68.5,68.5,71.6,55.1,60.4,70.4,72.4,50.4
16,Erkek,174,58.3,19.3,Ektomorf,18.6,9.8,Yüksek,4.7,2.3,6.3,6.0,5.7,5.0,3.8,Yok,Aktif,Aktif,Sağ,0,['Hiçbiri'],Hiçbiri,Yok,4.4,Bireysel,2.5,5.4,Marmara,Orta,Orta,Koşu/Atletizm,46.7,69.8,64.2,64.2,64.6,44.7,45.8,63.6,61.8,40.2
41,Kadın,163,54.5,20.4,Mezomorf,18.9,16.7,Orta,3.6,3.4,4.6,4.5,3.8,4.6,3.5,Yok,Sedanter,Sedanter,Sağ,18,"['Basketbol', 'Voleybol', 'Futbol']",Futbol,Orta,6.2,Bireysel,4.3,7.0,Doğu Anadolu,Düşük,Kolay,Bisiklet,56.4,45.6,57.5,39.3,59.5,58.4,55.3,61.3,38.7,54.7
32,Kadın,162,57.1,21.8,Endomorf,18.6,21.8,Orta,2.8,4.7,5.4,4.8,4.0,4.5,5.1,Yok,Sedanter,Aktif,Sağ,6,"['Futbol', 'Boks', 'Bisiklet', 'Güreş']",Bisiklet,Yok,5.0,Karma,2.7,6.8,Karadeniz,Orta,Orta,Güreş,45.8,45.2,45.3,45.3,45.5,62.5,39.5,43.6,41.8,41.8
42,Kadın,156,47.2,19.4,Ektomorf,12.5,8.9,Yüksek,4.9,1.4,5.2,6.0,3.5,4.1,3.0,Yok,Aktif,Aktif,Sağ,30,"['Futbol', 'Basketbol']",Basketbol,Orta,5.9,Bireysel,1.4,7.9,Marmara,Orta,Kolay,Koşu/Atletizm,41.1,67.3,58.4,58.4,58.8,39.5,40.7,57.1,54.5,35.5
13,Erkek,170,54.4,18.8,Ektomorf,19.9,6.9,Orta,6.6,3.8,5.6,5.8,3.3,4.7,6.0,Yok,Sedanter,Sedanter,Sağ,3,"['Voleybol', 'Futbol']",Futbol,Yok,2.3,Bireysel,4.5,4.6,Karadeniz,Düşük,Zor,Koşu/Atletizm,44.5,72.0,62.8,62.8,65.2,45.3,48.5,64.7,59.3,49.1
42,Kadın,156,47.5,19.6,Ektomorf,15.7,16.0,Düşük,5.0,2.2,5.9,6.4,3.1,3.6,3.1,Yok,Aktif,Aktif,Sağ,21,"['Voleybol', 'Futbol']",Futbol,Yok,7.3,Bireysel,3.6,4.9,İç Anadolu,Düşük,Zor,Koşu/Atletizm,41.8,68.7,57.9,57.9,62.2,42.0,41.1,59.3,55.1,38.5
43,Kadın,159,58.8,23.1,Mezomorf,16.2,25.0,Orta,5.5,2.4,3.8,6.0,3.5,3.9,3.9,Yok,Sedanter,Sedanter,Sağ,23,['Güreş'],Güreş,Hafif,6.0,Takım,3.7,7.5,Marmara,Orta,Orta,Basketbol,65.1,46.6,67.2,49.0,58.4,56.5,61.6,55.8,37.8,55.6
44,Erkek,181,82.1,25.1,Endomorf,31.1,23.6,Orta,2.1,6.8,2.9,4.4,5.4,5.5,4.7,Yok,Sedanter,Sedanter,Sağ,16,"['Güreş', 'Futbol', 'Basketbol']",Basketbol,Yok,8.0,Karma,4.8,7.0,Karadeniz,Orta,Orta,Güreş,42.5,38.7,48.9,48.9,46.4,62.9,39.3,44.9,49.3,39.1
18,Erkek,173,69.7,23.4,Mezomorf,22.1,10.7,Orta,6.8,7.6,5.8,6.2,7.4,7.4,7.6,Yok,Aktif,Sedanter,Sol,7,"['Basketbol', 'Atletizm', 'Voleybol', 'Futbol']",Basketbol,Orta,5.6,Takım,5.0,4.6,Marmara,Orta,Zor,Bisiklet,78.2,53.0,78.3,60.1,73.6,76.4,78.2,79.6,61.1,77.8
34,Kadın,157,41.8,17.0,Mezomorf,13.2,17.4,Düşük,5.9,2.9,4.9,5.8,4.3,5.5,6.7,Yok,Aktif,Aktif,Sağ,10,"['Voleybol', 'Futbol', 'Basketbol', 'Güreş']",Güreş,Hafif,7.0,Bireysel,3.7,6.2,Ege,Düşük,Zor,Tenis,62.0,51.2,61.8,43.6,60.7,62.0,68.5,62.9,42.7,64.4
44,Kadın,163,57.5,21.7,Mezomorf,26.6,25.2,Orta,4.5,5.9,4.4,6.0,4.2,3.8,3.3,Yok,Sedanter,Aktif,Sağ,1,['Atletizm'],Atletizm,Hafif,5.7,Karma,2.6,7.8,İç Anadolu,Düşük,Kolay,Basketbol,65.6,46.5,67.1,48.9,66.4,63.8,60.0,64.7,45.3,60.2
28,Erkek,174,72.4,24.0,Ektomorf,20.4,19.8,Yüksek,7.2,3.6,6.9,7.2,5.7,3.7,6.0,Yok,Sedanter,Sedanter,Sağ,4,"['Basketbol', 'Futbol', 'Voleybol']",Voleybol,Hafif,5.5,Takım,4.7,6.6,Ege,Düşük,Zor,Basketbol,59.6,73.7,76.1,76.1,70.2,48.0,56.5,64.9,64.0,52.2
46,Erkek,174,70.1,23.3,Endomorf,19.7,16.1,Orta,3.2,3.4,3.5,4.0,5.7,4.6,3.7,Yok,Sedanter,Sedanter,Sağ,35,['Yüzme'],Yüzme,Orta,9.3,Takım,1.3,5.2,Doğu Anadolu,Orta,Zor,Güreş,46.2,42.4,50.6,50.6,39.7,55.5,39.3,36.7,41.3,34.2
